lon,lat,tag,predict
114.371105,35.406025,1,1
114.371105,35.40601,1,1
114.371093,35.40596,1,1
114.371082,35.405914,1,1
114.37108,35.405909,1,1
114.37108,35.405889,1,1
114.371093,35.405855,1,1
114.371111,35.405838,1,1
114.371156,35.405824,1,1
114.37123,35.405811,1,1
114.371306,35.405796,1,1
114.37139,35.405777,1,1
114.371471,35.405762,1,1
114.371538,35.405749,1,1
114.371622,35.405732,1,1
114.371723,35.405714,1,1
114.371804,35.4057,1,1
114.37187,35.405686,1,1
114.371954,35.40567,1,1
114.372022,35.405658,1,1
114.372145,35.405636,1,1
114.372236,35.405619,1,1
114.372309,35.405605,1,1
114.372415,35.405586,1,1
114.372501,35.405568,1,1
114.37259,35.405554,1,1
114.372679,35.40554,1,1
114.372737,35.405529,1,1
114.372727,35.405532,1,1
114.372663,35.405549,1,1
114.372596,35.405565,1,1
114.372557,35.405576,1,1
114.372647,35.40558,1,1
114.372722,35.405576,1,1
114.372775,35.405563,1,1
114.372748,35.405571,1,1
114.372703,35.405582,1,1
114.372707,35.40558,1,1
114.372777,35.405582,1,1
114.372769,35.405576,1,1
114.372808,35.405619,1,1
114.372839,35.405664,1,1
114.37286,35.405712,1,1
114.372871,35.405743,1,1
114.372851,35.405715,1,1
114.372838,35.405675,1,1
114.37282,35.405634,1,1
114.372795,35.405602,1,1
114.372771,35.405577,1,1
114.372761,35.405566,1,1
114.372771,35.405608,1,1
114.372789,35.405665,1,1
114.372821,35.405726,1,1
114.372834,35.405759,1,1
114.372827,35.405726,1,1
114.372826,35.405721,1,1
114.372812,35.405774,1,1
114.372822,35.405755,1,1
114.372805,35.405777,1,1
114.372742,35.405785,1,1
114.37264,35.405794,1,1
114.372562,35.405808,1,1
114.372434,35.40583,1,1
114.372304,35.405853,1,1
114.372175,35.405876,1,1
114.372044,35.405898,1,1
114.371949,35.405915,1,1
114.371881,35.405926,1,1
114.371791,35.405942,1,1
114.371678,35.405962,1,1
114.371555,35.405982,1,1
114.371441,35.406002,1,1
114.37133,35.406021,1,1
114.371228,35.406036,1,1
114.37117,35.406046,1,1
114.371213,35.406038,1,1
114.371268,35.406028,1,1
114.371325,35.406018,1,1
114.371375,35.406008,1,1
114.371288,35.406005,1,1
114.371189,35.406014,1,1
114.371183,35.406016,1,1
114.371208,35.40601,1,1
114.371159,35.406005,1,1
114.371183,35.406016,1,1
114.371146,35.405968,1,1
114.371118,35.405889,1,1
114.371116,35.405856,1,1
114.371134,35.405901,1,1
114.371151,35.405937,1,1
114.37117,35.405979,1,1
